"Series";"Time";"Value"
"cpu";"2019-12-05T20:36:00-05:00";20.725
"cpu";"2019-12-05T20:36:20-05:00";20.975
"cpu";"2019-12-05T20:36:40-05:00";20.125
"cpu";"2019-12-05T20:37:00-05:00";20.25
"cpu";"2019-12-05T20:37:20-05:00";20.375
"cpu";"2019-12-05T20:37:40-05:00";20.675
"cpu";"2019-12-05T20:38:00-05:00";20.375
"cpu";"2019-12-05T20:38:20-05:00";20.525
"cpu";"2019-12-05T20:38:40-05:00";19.95
"cpu";"2019-12-05T20:39:00-05:00";19.35
"cpu";"2019-12-05T20:39:20-05:00";18.525
"cpu";"2019-12-05T20:39:40-05:00";18.275
"cpu";"2019-12-05T20:40:00-05:00";19.049999999999997
"cpu";"2019-12-05T20:40:20-05:00";19
"cpu";"2019-12-05T20:40:40-05:00";18.8
"cpu";"2019-12-05T20:41:00-05:00";18.425
"cpu";"2019-12-05T20:41:20-05:00";18.65
"cpu";"2019-12-05T20:41:40-05:00";18.1
"memory";"2019-12-05T18:42:00-05:00";null
"memory";"2019-12-05T18:42:20-05:00";null
"memory";"2019-12-05T18:42:40-05:00";7
"memory";"2019-12-05T18:43:00-05:00";null
"memory";"2019-12-05T18:43:20-05:00";null
"memory";"2019-12-05T18:43:40-05:00";5
"memory";"2019-12-05T18:44:00-05:00";null
"memory";"2019-12-05T18:44:20-05:00";null
"memory";"2019-12-05T18:44:40-05:00";1
"memory";"2019-12-05T18:45:00-05:00";null
"memory";"2019-12-05T18:45:20-05:00";null
"memory";"2019-12-05T18:45:40-05:00";5
"memory";"2019-12-05T18:46:00-05:00";null
"memory";"2019-12-05T18:46:20-05:00";null
"memory";"2019-12-05T18:46:40-05:00";4
"memory";"2019-12-05T18:47:00-05:00";null
"memory";"2019-12-05T18:47:20-05:00";null
"memory";"2019-12-05T18:47:40-05:00";5
"memory";"2019-12-05T18:48:00-05:00";null
"memory";"2019-12-05T18:48:20-05:00";null
"memory";"2019-12-05T18:48:40-05:00";5
"memory";"2019-12-05T18:49:00-05:00";null
"memory";"2019-12-05T18:49:20-05:00";null
"memory";"2019-12-05T18:49:40-05:00";null
"memory";"2019-12-05T18:50:00-05:00";8
"memory";"2019-12-05T18:50:20-05:00";null
"memory";"2019-12-05T18:50:40-05:00";null
"memory";"2019-12-05T18:51:00-05:00";3
"memory";"2019-12-05T18:51:20-05:00";null
"memory";"2019-12-05T18:51:40-05:00";null
"memory";"2019-12-05T18:52:00-05:00";7
"memory";"2019-12-05T18:52:20-05:00";null
"memory";"2019-12-05T18:52:40-05:00";null
"memory";"2019-12-05T18:53:00-05:00";8
"memory";"2019-12-05T18:53:20-05:00";null
"memory";"2019-12-05T18:53:40-05:00";null
"memory";"2019-12-05T18:54:00-05:00";2
"memory";"2019-12-05T18:54:20-05:00";null
"memory";"2019-12-05T18:54:40-05:00";null
"memory";"2019-12-05T18:55:00-05:00";2
"memory";"2019-12-05T18:55:20-05:00";null
"memory";"2019-12-05T18:55:40-05:00";null
"memory";"2019-12-05T18:56:00-05:00";9
"memory";"2019-12-05T18:56:20-05:00";null
"memory";"2019-12-05T18:56:40-05:00";null
"memory";"2019-12-05T18:57:00-05:00";4
"memory";"2019-12-05T18:57:20-05:00";null
"memory";"2019-12-05T18:57:40-05:00";null
"memory";"2019-12-05T18:58:00-05:00";7
"memory";"2019-12-05T18:58:20-05:00";null
"memory";"2019-12-05T18:58:40-05:00";null
"memory";"2019-12-05T18:59:00-05:00";5
"memory";"2019-12-05T18:59:20-05:00";null
"memory";"2019-12-05T18:59:40-05:00";null
"memory";"2019-12-05T19:00:00-05:00";4
"memory";"2019-12-05T19:00:20-05:00";null
"memory";"2019-12-05T19:00:40-05:00";null
"memory";"2019-12-05T19:01:00-05:00";6
"memory";"2019-12-05T19:01:20-05:00";null
"memory";"2019-12-05T19:01:40-05:00";null
"memory";"2019-12-05T19:02:00-05:00";4
"memory";"2019-12-05T19:02:20-05:00";null
"memory";"2019-12-05T19:02:40-05:00";null
"memory";"2019-12-05T19:03:00-05:00";6
"memory";"2019-12-05T19:03:20-05:00";null
"memory";"2019-12-05T19:03:40-05:00";null
"memory";"2019-12-05T19:04:00-05:00";2
"memory";"2019-12-05T19:04:20-05:00";null
"memory";"2019-12-05T19:04:40-05:00";null
"memory";"2019-12-05T19:05:00-05:00";7
"memory";"2019-12-05T19:05:20-05:00";null
"memory";"2019-12-05T19:05:40-05:00";null
"memory";"2019-12-05T19:06:00-05:00";8
"memory";"2019-12-05T19:06:20-05:00";null
"memory";"2019-12-05T19:06:40-05:00";null
"memory";"2019-12-05T19:07:00-05:00";4
"memory";"2019-12-05T19:07:20-05:00";null
"memory";"2019-12-05T19:07:40-05:00";null
"memory";"2019-12-05T19:08:00-05:00";9
"memory";"2019-12-05T19:08:20-05:00";null
"memory";"2019-12-05T19:08:40-05:00";null
"memory";"2019-12-05T19:09:00-05:00";10
"memory";"2019-12-05T19:09:20-05:00";null
"memory";"2019-12-05T19:09:40-05:00";null
"memory";"2019-12-05T19:10:00-05:00";8
"memory";"2019-12-05T19:10:20-05:00";null
"memory";"2019-12-05T19:10:40-05:00";null
"memory";"2019-12-05T19:11:00-05:00";6
"memory";"2019-12-05T19:11:20-05:00";null
"memory";"2019-12-05T19:11:40-05:00";null
"memory";"2019-12-05T19:12:00-05:00";5
"memory";"2019-12-05T19:12:20-05:00";null
"memory";"2019-12-05T19:12:40-05:00";null
"memory";"2019-12-05T19:13:00-05:00";6
"memory";"2019-12-05T19:13:20-05:00";null
"memory";"2019-12-05T19:13:40-05:00";null
"memory";"2019-12-05T19:14:00-05:00";7
"memory";"2019-12-05T19:14:20-05:00";null
"memory";"2019-12-05T19:14:40-05:00";null
"memory";"2019-12-05T19:15:00-05:00";6
"memory";"2019-12-05T19:15:20-05:00";null
"memory";"2019-12-05T19:15:40-05:00";null
"memory";"2019-12-05T19:16:00-05:00";7
"memory";"2019-12-05T19:16:20-05:00";null
"memory";"2019-12-05T19:16:40-05:00";null
"memory";"2019-12-05T19:17:00-05:00";10
"memory";"2019-12-05T19:17:20-05:00";null
"memory";"2019-12-05T19:17:40-05:00";null
"memory";"2019-12-05T19:18:00-05:00";6
"memory";"2019-12-05T19:18:20-05:00";null
"memory";"2019-12-05T19:18:40-05:00";null
"memory";"2019-12-05T19:19:00-05:00";5
"memory";"2019-12-05T19:19:20-05:00";null
"memory";"2019-12-05T19:19:40-05:00";null
"memory";"2019-12-05T19:20:00-05:00";27
"memory";"2019-12-05T19:20:20-05:00";null
"memory";"2019-12-05T19:20:40-05:00";null
"memory";"2019-12-05T19:21:00-05:00";51
"memory";"2019-12-05T19:21:20-05:00";null
"memory";"2019-12-05T19:21:40-05:00";null
"memory";"2019-12-05T19:22:00-05:00";53
"memory";"2019-12-05T19:22:20-05:00";null
"memory";"2019-12-05T19:22:40-05:00";null
"memory";"2019-12-05T19:23:00-05:00";39
"memory";"2019-12-05T19:23:20-05:00";null
"memory";"2019-12-05T19:23:40-05:00";null
"memory";"2019-12-05T19:24:00-05:00";9
"memory";"2019-12-05T19:24:20-05:00";null
"memory";"2019-12-05T19:24:40-05:00";null
"memory";"2019-12-05T19:25:00-05:00";8
"memory";"2019-12-05T19:25:20-05:00";null
"memory";"2019-12-05T19:25:40-05:00";null
"memory";"2019-12-05T19:26:00-05:00";5
"memory";"2019-12-05T19:26:20-05:00";null
"memory";"2019-12-05T19:26:40-05:00";null
"memory";"2019-12-05T19:27:00-05:00";10
"memory";"2019-12-05T19:27:20-05:00";null
"memory";"2019-12-05T19:27:40-05:00";null
"memory";"2019-12-05T19:28:00-05:00";2
"memory";"2019-12-05T19:28:20-05:00";null
"memory";"2019-12-05T19:28:40-05:00";null
"memory";"2019-12-05T19:29:00-05:00";6
"memory";"2019-12-05T19:29:20-05:00";null
"memory";"2019-12-05T19:29:40-05:00";null
"memory";"2019-12-05T19:30:00-05:00";10
"memory";"2019-12-05T19:30:20-05:00";null
"memory";"2019-12-05T19:30:40-05:00";null
"memory";"2019-12-05T19:31:00-05:00";10
"memory";"2019-12-05T19:31:20-05:00";null
"memory";"2019-12-05T19:31:40-05:00";null
"memory";"2019-12-05T19:32:00-05:00";8
"memory";"2019-12-05T19:32:20-05:00";null
"memory";"2019-12-05T19:32:40-05:00";null
"memory";"2019-12-05T19:33:00-05:00";7
"memory";"2019-12-05T19:33:20-05:00";null
"memory";"2019-12-05T19:33:40-05:00";null
"memory";"2019-12-05T19:34:00-05:00";6
"memory";"2019-12-05T19:34:20-05:00";null
"memory";"2019-12-05T19:34:40-05:00";null
"memory";"2019-12-05T19:35:00-05:00";11
"memory";"2019-12-05T19:35:20-05:00";null
"memory";"2019-12-05T19:35:40-05:00";null
"memory";"2019-12-05T19:36:00-05:00";6
"memory";"2019-12-05T19:36:20-05:00";null
